scenario,purchase_cost,mid_cost,big_cost,same_filter_count,all_filters_same,base_plan_total_annual_cost,reoptimized_total_annual_cost,annual_cost_penalty,annual_cost_penalty_pct,purchase_factor,mid_factor,big_factor
purchase_0.8_mid_1.1_big_0.9,240.0,3.3000000000000003,10.8,9,False,1215.0973233786144,1214.8368737442152,0.26044963439926505,0.021439062315958556,0.8,1.1,0.9
purchase_0.8_mid_1.1_big_1.0,240.0,3.3000000000000003,12.0,9,False,1230.2337179680853,1229.506390673531,0.727327294554243,0.059156040185834965,0.8,1.1,1.0
purchase_0.8_mid_1.1_big_1.1,240.0,3.3000000000000003,13.200000000000001,9,False,1245.370112557556,1244.1759076028468,1.194204954709221,0.09598361030877822,0.8,1.1,1.1
purchase_0.8_mid_1.1_big_1.2,240.0,3.3000000000000003,14.399999999999999,9,False,1260.506507147027,1258.8454245321627,1.661082614864199,0.13195286589547114,0.8,1.1,1.2
purchase_0.8_mid_1.1_big_1.3,240.0,3.3000000000000003,15.600000000000001,9,False,1275.6429017364976,1273.5149414614787,2.1279602750189497,0.16709346751573362,0.8,1.1,1.3
purchase_0.8_mid_1.2_big_0.7,240.0,3.5999999999999996,8.399999999999999,10,True,1210.2172711052847,1210.2172711052847,0.0,0.0,0.8,1.2,0.7
purchase_0.8_mid_1.2_big_0.8,240.0,3.5999999999999996,9.600000000000001,10,True,1225.3536656947558,1225.3536656947556,2.2737367544323206e-13,1.8555759190903868e-14,0.8,1.2,0.8
purchase_0.8_mid_1.2_big_0.9,240.0,3.5999999999999996,10.8,9,False,1240.4900602842263,1240.2307565627377,0.25930372148854985,0.020907699645121066,0.8,1.2,0.9
purchase_0.8_mid_1.2_big_1.0,240.0,3.5999999999999996,12.0,9,False,1255.6264548736972,1254.6989018300078,0.927553043689386,0.07392634538346436,0.8,1.2,1.0
purchase_0.8_mid_1.2_big_1.1,240.0,3.5999999999999996,13.200000000000001,9,False,1270.762849463168,1269.138154641419,1.6246948217490171,0.1280155998625742,0.8,1.2,1.1
